gx,gy,n_violations,n_days_active,road_class,poi_demand,severity,criticality,lat,lon,top_station,peak_hour,dominant_poi,name,CIS,CIS_rank
17237,2888,1143,110,1.3398950131233596,0.9912510936132983,1.4133858267716535,1.4457567804024496,12.998560752580929,77.56934813455818,Malleshwaram,11,poi_mall,Siddavanahalli Krishna Sharma Road,53.027417430441325,11
17232,2888,1193,120,1.433780385582565,0.8424140821458508,1.2290863369656329,1.4923721709974853,12.997649004319618,77.547286470147,Vijayanagara,7,poi_hospital,BTP205 - Modi Hospital Junction,52.2761853295904,12
17270,2879,582,89,1.8685567010309279,0.8676975945017182,1.5895189003436427,1.65,12.958065738327104,77.7159797783287,HAL Old Airport,5,poi_techpark,ITPL Main Road,52.27384639782107,13
17239,2879,1827,127,1.2681992337164751,0.6163108921729611,1.6143951833607006,1.5077723043240283,12.958888332348112,77.57703226792556,City Market,11,poi_school,BTP104 - Medical College Circle,52.051356660554205,14
17239,2883,17647,151,1.5537768459228198,0.03502011673372245,1.2762622542075142,1.3661642205474018,12.976285702363008,77.57740168818496,Upparpet,9,poi_school,BTP040 - Elite Junction,51.613975935475345,15
17238,2881,2826,139,1.6675513092710545,0.13552724699221513,1.6235314932767164,1.5959660297239915,12.96645193367329,77.57446479043875,Chamarajpet,1,poi_market,"BTP083 - AS Char Street, Mysore Road",50.81607551147314,16
17238,2870,532,106,1.8900375939849625,0.8646616541353384,1.4342105263157894,1.2968045112781954,12.91708027401245,77.573524368663,Banashankari,3,poi_transit,"BTP115 - Sahasra Hospital, Jayanagar",50.65728674111168,17
17239,2882,5618,149,1.5752936988252046,0.163937344250623,1.2277144891420435,1.3977038091847633,12.971908266138817,77.57765435715399,Upparpet,9,poi_hospital,BTP044 - Sagar Theatre Junction,50.28100366937589,18
17270,2880,830,59,1.9704819277108434,0.9349397590361446,1.6913253012048193,1.5002409638554217,12.96297741879518,77.7173440307229,HAL Old Airport,5,poi_techpark,ITPL Main Road,50.130396661961576,19
17240,2883,1931,133,1.4236147074054895,0.3537027446918695,1.6469704816157433,1.4592439150699121,12.976322617607458,77.58118527415847,Upparpet,9,poi_school,BTP044 - Sagar Theatre Junction,49.755462118963045,20
17263,2873,1408,98,2.2954545454545454,0.27201704545454547,1.5289772727272728,1.7057528409090907,12.930670362731677,77.68568640764217,HAL Old Airport,8,poi_techpark,Outer Ring Road,49.69017377114783,21
17252,2869,1562,117,1.7829705505761844,0.645326504481434,1.1096670934699104,1.3062740076824584,12.912145844076214,77.6367166381793,HSR Layout,14,poi_metro,17th Cross Road,49.60813088703663,22
17245,2884,2956,141,1.2016238159675237,0.42185385656292285,1.2023342354533153,1.4669824086603518,12.98131471405821,77.60540448681786,Shivajinagar,10,poi_hospital,BTP051 - Safina Plaza Junction,49.52494153694562,23
17234,2890,3353,136,2.2858634059051597,0.0038771249627199524,1.336236206382344,1.3959141067700567,13.008478477602146,77.55491032105577,Malleshwaram,10,poi_school,"BTP001 - 10th Cross, Dr. Rajkumar Road",49.517992638781934,24
17269,2882,684,86,1.9144736842105263,0.6812865497076024,1.5757309941520468,1.6203216374269005,12.971449973474552,77.71196507487743,HAL Old Airport,3,poi_techpark,ITPL Main Road,49.48058757831026,25
17233,2883,1689,132,1.310242747187685,0.6512729425695678,1.1248075784487863,1.284606275902901,12.97396637317895,77.55103306736471,Magadi Road,11,poi_mall,"BTP070 - Cholurpalya Junction, Magadi Road",48.971066971996976,26
17259,2888,1466,127,1.1091405184174625,0.0006821282401091405,1.8071623465211462,2.3099590723055936,12.996369817382268,77.66872528235007,Mahadevapura,10,poi_metro,MBT Road,48.90591213312006,27
17246,2884,12660,151,1.099170616113744,0.030252764612954185,1.349091627172196,1.4266666666666665,12.981120320406966,77.60921567682536,Shivajinagar,10,poi_market,BTP051 - Safina Plaza Junction,48.76932720937408,28
17230,2882,855,109,1.5099415204678364,0.7707602339181286,1.213684210526316,1.44,12.971927237387908,77.53761778091948,Vijayanagara,10,poi_transit,BTP028 - Vijayanagar Bus Stand Junction,48.76247706850585,29
17240,2884,929,122,1.290096878363832,0.7168998923573735,1.410010764262648,1.3384284176533905,12.978876687405812,77.58098968127018,Upparpet,2,poi_transit,BTP058 - Subbanna Junction,48.732196934458074,30
17231,2878,1649,125,1.018799272286234,0.5542753183747726,1.321588841722256,1.583565797453002,12.953161237142732,77.54223855174112,Byatarayanapura,1,poi_transit,BTP096 - Gali Anjaneya Temple,48.243431504614875,31
17270,2881,1338,67,1.9869207772795217,0.7301943198804185,1.4367713004484306,1.4951420029895366,12.965468273841553,77.71788253161435,HAL Old Airport,7,poi_techpark,ITPL Main Road,48.22195697403811,32
17261,2888,1593,105,2.274952919020716,0.0,1.5338983050847457,1.8500313873195229,13.000225008156393,77.67693137874139,Mahadevapura,1,none,Outer Ring Road,47.98663754707707,33
17239,2884,3898,145,1.383786557208825,0.09286813750641354,1.5157260133401744,1.3383273473576194,12.978994973018166,77.57837034474599,Upparpet,1,poi_transit,BTP058 - Subbanna Junction,47.47227263389607,34
17238,2889,527,98,1.092979127134725,0.9962049335863378,1.4092979127134726,1.3969639468690702,13.00212114345351,77.57130304459204,Malleshwaram,10,poi_mall,Sri Venkataranga Ayangar Road,47.46558202388602,35
17265,2890,3715,149,1.0660834454912518,0.010767160161507403,1.4141857335127859,1.6862180349932705,13.008288554741807,77.69514625279524,K.R. Pura,0,poi_hospital,MBT Road,47.126978878316685,36
17254,2882,818,107,1.6399755501222495,0.3019559902200489,1.4617359413202935,1.8875305623471883,12.970694963060222,77.64632908655345,Jeevanbheemanagar,13,poi_hospital,12th Main Road,47.092042678684756,37
17265,2887,896,58,1.1350446428571428,0.8772321428571429,1.4771205357142858,1.9507812500000001,12.995458142784551,77.69576173217483,Mahadevapura,11,poi_market,Whitefield Road,47.01260698205362,38
17238,2884,4051,148,1.027770920760306,0.08318933596642804,1.533646013330042,1.4768205381387314,12.979273278696619,77.57439229997532,Upparpet,9,poi_hospital,BTP057 - Anand Rao Junction,46.94062168383753,39
17233,2882,1239,87,1.6085552865213881,0.9031476997578692,1.023405972558515,1.2426150121065374,12.973403094188862,77.5509149362389,Magadi Road,12,poi_mall,"BTP070 - Cholurpalya Junction, Magadi Road",46.83014899852069,40
17230,2881,3144,132,1.9631043256997456,0.001272264631043257,1.1796119592875318,1.4561068702290076,12.966177711298174,77.5376881921727,Vijayanagara,10,poi_market,"BTP016 - 5th Main Road, RPC Layout",46.55047208042534,41
17264,2873,1530,82,1.5784313725490196,0.5980392156862745,1.288627450980392,1.62718954248366,12.932576480842393,77.6902643877818,HAL Old Airport,8,poi_school,New Horizon College Road,46.5170958549911,42
17270,2878,329,47,1.0,0.9513677811550152,1.5364741641337385,2.323100303951368,12.95180500919755,77.71741867519945,Whitefield,8,poi_school,Vibgyor High School Road,46.49551637111804,43
17266,2877,908,78,2.269273127753304,0.12444933920704845,1.6947136563876652,1.964977973568282,12.949531229347878,77.69957015356746,HAL Old Airport,3,poi_school,Outer Ring Road,46.43574236669187,44
17234,2886,571,93,1.7329246935201401,0.681260945709282,1.3837127845884414,1.4418563922942207,12.989335798073556,77.55479610437828,Rajajinagar,5,poi_hospital,"BTP204 - ESI Hospital, Rajajinagar",46.38086203445365,45
17255,2879,458,96,1.1943231441048034,0.868995633187773,1.4934497816593886,1.4200873362445414,12.959390763263363,77.64905700312792,Jeevanbheemanagar,9,poi_hospital,Old Airport Road,46.12692679147979,46
17266,2878,461,74,2.2082429501084597,0.0,2.1247288503253796,2.1926247288503253,12.95193275526479,77.69997625587698,HAL Old Airport,2,none,Outer Ring Road,45.85431131516067,47
17262,2929,2703,144,1.0,0.0,1.7071402145763965,1.5936366999630043,13.184064016533481,77.6798520046726,Chikkajala,1,none,Unnamed Road,45.72075090107652,48
17266,2879,1117,116,2.443151298119964,0.0,1.3674127126230977,1.478066248880931,12.957613126125832,77.70094016231286,HAL Old Airport,10,none,Marathahalli Underpass,45.554308045965,49
17252,2864,323,81,1.2910216718266254,0.8297213622291022,1.561919504643963,1.6640866873065014,12.89186242411713,77.63802616154565,Hulimavu,2,poi_techpark,Hosur Road,45.53523834499779,50
17235,2883,1660,128,1.0683734939759035,0.4825301204819277,1.1325301204819278,1.4031325301204818,12.975729125186543,77.55988070406772,Magadi Road,4,poi_hospital,BTP074 - Leprosy Hospital Junction,45.43407861236306,51
17228,2890,427,96,1.3875878220140516,0.3255269320843091,1.9297423887587821,1.9147540983606557,13.007717414754099,77.52683530562061,Rajajinagar,11,poi_mall,Dr Rajkumar Puniya Bhoomi Road,45.24575091312016,52
17258,2887,851,92,1.163337250293772,0.917743830787309,1.1227967097532314,1.3309048178613394,12.993637709417133,77.66269237894919,Banaswadi,14,poi_mall,Old Madras Road,45.24448607579989,53
17245,2885,4557,147,1.0087777046302393,0.007022163704191354,1.4106649111257406,1.4408602150537635,12.984106527847953,77.60392456237203,Shivajinagar,10,poi_hospital,BTP211 - Central Street Junction,44.96005055728195,54
17238,2883,3148,150,1.0465374841168995,0.0044472681067344345,1.440279542566709,1.4623252858958067,12.976619661721728,77.57463358081321,Upparpet,10,poi_hospital,BTP045 - Danvanthri Road Junction,44.85735170764494,55
17234,2892,253,62,1.0276679841897234,0.9169960474308301,1.5098814229249011,2.007905138339921,13.015568815300798,77.55528922606948,Malleshwaram,11,poi_mall,Mumbai Bengaluru Highway,44.666072700890645,56
17240,2880,2376,143,1.0332491582491583,0.08080808080808081,1.4320286195286196,1.430218855218855,12.96379579935405,77.58268278925942,Halasuru Gate,10,poi_market,"BTP080 - NR Road, SP Road Junction",43.90698316932548,57
17243,2872,64,13,1.8671875,0.9375,1.7109375,2.3703125,12.927222582812501,77.5969997359375,Jayanagara,3,poi_hospital,"BTP127 - Sagar Hospital, Jayanagar",43.75231056863622,58
17262,2852,42,28,1.0476190476190477,0.9523809523809523,1.6095238095238094,2.880952380952381,12.835531502380954,77.67927619523809,Electronic City,2,poi_techpark,Hosur Road,43.66940315684976,59
17224,2880,468,102,1.1773504273504274,0.6666666666666666,1.4784188034188033,1.3914529914529916,12.9610006008547,77.51156217158119,Jnanabharathi,12,poi_mall,Mallathahalli Road,43.535688142726805,60
17233,2886,894,115,1.417785234899329,0.15436241610738255,1.584675615212528,1.642281879194631,12.989179086719183,77.55099591921686,Rajajinagar,3,poi_hospital,"BTP170 - Dr. Bheem Rao Palace, Chord Road",43.42680970842757,61
17233,2891,2185,144,1.0787185354691076,0.013272311212814645,1.483066361556064,1.3983524027459955,13.011576655331806,77.5516332043936,Malleshwaram,10,poi_mall,BTP023 - Mahalaxmi Layout Entrance,43.059231236283495,62
17237,2889,361,60,1.2867036011080333,0.997229916897507,1.3789473684210527,1.4653739612188366,13.002140308587256,77.56965263711912,Malleshwaram,6,poi_mall,Siddavanahalli Krishna Sharma Road,42.95632570895433,63
17238,2887,1105,119,1.0633484162895928,0.42262443438914027,1.3467873303167421,1.3368325791855205,12.994143044072398,77.57179276461538,Malleshwaram,6,poi_mall,Sri Venkataranga Ayangar Road,42.705088016142234,64
17261,2872,932,99,2.351931330472103,0.001072961373390558,1.599785407725322,1.3591201716738197,12.926214431509608,77.6770075869807,Bellandur,4,poi_mall,Outer Ring Road,42.429299742609174,65
17241,2904,5447,128,1.0047732696897376,0.03120984027905269,1.0571507251698182,1.4775839911878097,13.071045679175148,77.58792325101433,Kodigehalli,11,poi_transit,Sahakar Nagar Road,41.79477563380387,66
17261,2866,576,79,1.0026041666666667,0.8663194444444444,1.3225694444444445,1.3336805555555555,12.899592489063197,77.67545274344596,Bellandur,11,poi_school,Amrutha College Road,41.72491664686226,67
17233,2889,1290,108,1.9337209302325582,0.002325581395348837,1.373875968992248,1.4328682170542637,13.00212877899225,77.55016989248062,Malleshwaram,7,poi_hospital,"BTP026 - 1st Block Junction, Rajajinagar",41.51751448442377,68
17236,2883,147,53,1.5476190476190477,1.0,1.379591836734694,1.4925170068027211,12.975240478355719,77.56435361286667,Magadi Road,4,poi_hospital,BTP074 - Leprosy Hospital Junction,41.398225484133974,69
17238,2868,94,42,2.654255319148936,0.723404255319149,1.5851063829787233,1.3755319148936171,12.907613039080122,77.573174028369,J.P. Nagar,3,poi_metro,"BTP159 - JP Nagar Metro, ORR",41.25520292309933,70
17277,2876,101,35,1.9603960396039604,0.693069306930693,1.606930693069307,1.994059405940594,12.94268272079208,77.74775398217822,Whitefield,13,poi_transit,Muthsandra Main Road,41.16284298220671,71
17238,2876,1921,141,1.026028110359188,0.02706923477355544,1.18974492451848,1.4290994273815723,12.943988510849575,77.57143149635606,Basavanagudi,11,poi_market,BTP108 - Tagore Park Junction,40.98549486587084,72
17234,2885,1102,125,1.6569872958257714,0.015426497277676952,1.2873865698729583,1.3620689655172413,12.985391305132936,77.55449203228085,Rajajinagar,9,poi_market,BTP061 - Bhashyam Circle,40.86477753750096,73
17240,2881,1824,128,1.168859649122807,0.0537280701754386,1.2615679824561403,1.4297149122807018,12.965241676754385,77.58326652631578,Halasuru Gate,10,poi_market,"BTP080 - NR Road, SP Road Junction",40.73077622516653,74
17262,2930,1723,125,1.0,0.0,1.5928612884503772,1.5087057457922228,13.186768172025536,77.68023541271039,Chikkajala,4,none,Unnamed Road,40.66975765524693,75
17253,2882,730,107,2.243150684931507,0.00684931506849315,1.2272602739726026,1.384931506849315,12.969774752696994,77.64088706397912,Jeevanbheemanagar,7,poi_hospital,Domlur Inner Ring Road,40.61099996440111,76
17266,2876,455,60,2.435164835164835,0.0,1.6538461538461537,1.9085714285714286,12.944087994569777,77.69784033488705,HAL Old Airport,6,none,Outer Ring Road,40.59168094779602,77
17240,2873,988,122,1.9003036437246963,0.003036437246963563,1.2360323886639677,1.2884615384615385,12.92999856082996,77.58227205283401,Jayanagara,8,poi_transit,"BTP188 - 27th Cross, 4th Main, Jayanagar",40.568460686831074,78
17246,2885,2865,133,1.0,0.00593368237347295,1.094415357766143,1.468586387434555,12.983139383944154,77.60943045148342,Shivajinagar,10,poi_market,BTP051 - Safina Plaza Junction,40.39748847945066,79
17255,2853,365,66,1.0424657534246575,0.9452054794520548,1.1761643835616438,1.433150684931507,12.841389366849317,77.64837855260274,Electronic City,12,poi_techpark,Neeladri Road,40.258328807234165,80
17244,2874,197,78,2.50253807106599,0.005076142131979695,1.3477157360406091,1.9786802030456854,12.936557730964468,77.60164844162436,Mico Layout,7,poi_school,BTP126 - Dairy Circle,40.2300954102546,81
17234,2884,380,106,2.335526315789474,0.005263157894736842,1.3592105263157894,1.4155263157894735,12.979880821343329,77.55474559971711,Magadi Road,12,poi_market,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",40.12977731561765,82
17265,2884,508,80,1.7106299212598426,0.00984251968503937,1.6998031496062993,1.9675196850393701,12.97923981259416,77.69509384397507,Mahadevapura,3,poi_mall,Outer Ring Road,40.082362189219204,83
17254,2853,1632,114,1.0683210784313726,0.20159313725490197,1.2631740196078431,1.4026960784313725,12.841849818014706,77.64558848455883,Electronic City,13,poi_techpark,Neeladri Road,39.95584308463655,84
17230,2895,715,113,1.1426573426573428,0.023776223776223775,1.4875524475524475,1.8151048951048951,13.030301699836118,77.53695527516565,Yeshwanthpura,1,poi_school,Mumbai Bengaluru Highway,39.891130452580185,85
17266,2875,581,93,1.96815834767642,0.0017211703958691911,1.376247848537005,1.7113597246127366,12.9381659084905,77.6987653585904,HAL Old Airport,6,poi_market,Panathur Main Road,39.85539504686343,86
17233,2887,755,77,1.8728476821192053,0.1403973509933775,1.7278145695364238,1.4806622516556294,12.993380086887418,77.5524192765563,Rajajinagar,3,poi_hospital,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",39.785464741757536,87
17261,2853,419,44,1.0023866348448687,0.9260143198090692,1.171837708830549,1.747255369928401,12.84049927542277,77.67686388359986,Electronic City,8,poi_techpark,Hosur Road,39.771254372532134,88
17262,2872,1047,80,2.061604584527221,0.0,1.75549188156638,1.4155682903533906,12.927547700411052,77.68012265638242,Bellandur,2,none,Outer Ring Road,39.70668723308826,89
17241,2872,502,89,2.1115537848605577,0.01593625498007968,1.301792828685259,1.692629482071713,12.92679837808765,77.58604449501992,Jayanagara,8,poi_transit,"BTP226 - 33rd Cross, 11th Main, Jayanagar",39.465878644897174,90
17237,2883,1329,112,1.0011286681715577,0.12340105342362678,1.4838224228743415,1.4870579382994733,12.97696599139963,77.57073743693086,Chamarajpet,7,poi_transit,BTP048 - Shanthala Junction,39.35463579461371,91
17270,2877,81,9,1.0,1.0,1.3641975308641976,2.5419753086419754,12.95041891727426,77.71762887953903,Whitefield,8,poi_school,Vibgyor High School Road,39.289488071669346,92
17253,2863,547,94,1.6325411334552102,0.009140767824497258,1.9314442413162705,1.4983546617915906,12.885639150653839,77.64147282822151,Hulimavu,2,poi_techpark,Hosur Road,38.92161867267878,93
17234,2887,870,96,1.5402298850574712,0.029885057471264367,1.5571264367816093,1.535632183908046,12.993418526447334,77.5544062025653,Rajajinagar,3,poi_hospital,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",38.65969403394927,94
17242,2896,2133,131,1.0829817158931083,0.0032817627754336614,1.1776840131270512,1.2789498359118612,13.035491096948162,77.5891306579653,Hebbala,3,poi_hospital,Bellary Road,38.61343734388382,95
17246,2872,162,60,1.9228395061728396,0.0,1.7530864197530864,2.312962962962963,12.9263718845679,77.6090041771605,Mico Layout,3,none,Thavarekere Main Road,38.55304935010311,96
17235,2886,85,30,1.9941176470588236,0.8941176470588236,1.6329411764705883,1.4152941176470588,12.988365162352942,77.55917983764705,Rajajinagar,2,poi_hospital,"BTP015 - Suguna Hospital, Dr. Rajkumar Road",38.55172596216951,97
17243,2870,234,38,2.230769230769231,0.0,1.3482905982905984,2.560683760683761,12.91715847820513,77.59614200897437,Jayanagara,2,none,"BTP202 - East End Main Road, Jayanagar",38.51433115805282,98
17243,2873,1,1,2.0,1.0,1.5,3.0,12.9285018,77.597355,Jayanagara,11,poi_hospital,"BTP127 - Sagar Hospital, Jayanagar",38.5,99
17253,2884,393,62,1.0648854961832062,0.5725190839694656,1.2692111959287533,1.855470737913486,12.978954506098473,77.64034140106072,Jeevanbheemanagar,9,poi_hospital,Chinmaya Mission Hospital Road,38.45663587651884,100
17232,2882,481,62,1.8076923076923077,0.5821205821205822,1.1164241164241164,1.3207900207900207,12.971289669438669,77.54653032848233,Vijayanagara,4,poi_metro,BTP020 - Hosahalli Metro Station,38.39261899493059,101
17235,2884,446,98,2.2769058295964126,0.0,1.2174887892376682,1.4172645739910315,12.980826530706807,77.5584499404864,Magadi Road,12,none,BTP010 - Rajajinagar Entrance,38.37792961535656,102
17242,2899,209,41,1.5933014354066986,0.9712918660287081,1.2105263157894737,1.325358851674641,13.049392489952153,77.59303444497607,Hebbala,3,poi_mall,Kempapura Main Road,38.36619893722083,103
17257,2882,1235,98,1.802834008097166,0.0,1.2040485829959515,1.3906882591093117,12.971751408802023,77.65809020342515,Jeevanbheemanagar,7,none,Pusa Thippasandra Main Road,38.04353841531356,104
17238,2867,18,9,3.388888888888889,1.0,1.25,1.2166666666666666,12.904004488888889,77.57332832777779,J.P. Nagar,3,poi_metro,"BTP159 - JP Nagar Metro, ORR",37.98381092060675,105
17247,2884,1498,120,1.048064085447263,0.004005340453938585,1.4667556742323096,1.343124165554072,12.981009421094793,77.61322855053405,Shivajinagar,10,poi_market,Gangadhara Chetty Road,37.95635603748393,106
17247,2874,847,106,1.7497048406139315,0.0023612750885478157,1.2495867768595041,1.3799291617473435,12.935375780401417,77.61457697166469,Adugodi,11,poi_school,BTP135 - UCO Bank Junction,37.928157194512785,107
17241,2879,451,118,1.8215077605321508,0.0,1.4068736141906875,1.2516629711751663,12.957694067405766,77.58631474478935,Wilson Garden,8,none,BTP192 - Urvashi Theater,37.90972761449565,108
17241,2873,325,84,1.7707692307692309,0.3723076923076923,1.2738461538461539,1.2993846153846154,12.930235273538461,77.58573306523077,Jayanagara,9,poi_transit,BTP225 - Geetha Junction,37.489901670932774,109
17238,2886,1067,128,1.0890346766635426,0.019681349578256794,1.3018744142455483,1.3007497656982192,12.989602811996251,77.57327333992502,Sheshadripuram,11,poi_mall,BTP054 - Shivananda Circle,37.393598572448994,110
17242,2878,337,98,1.3204747774480712,0.34124629080118696,1.4329376854599405,1.33026706231454,12.953639640949556,77.59155668397626,Wilson Garden,9,poi_transit,BTP103 - Shanti Nagar TTMC,37.3411625244928,111
17246,2873,325,87,1.7,0.0,1.500923076923077,1.8147692307692307,12.930620285538462,77.60923581753846,Mico Layout,2,none,BTP140 - Madiwala Check Post,37.31092731195842,112
17254,2931,939,97,1.0031948881789137,0.0,1.6273695420660277,1.700425985090522,13.191237390181044,77.64621057289669,Chikkajala,1,none,Bengaluru Bellary Road,37.056823987424714,113
17233,2890,709,107,1.4090267983074753,0.0028208744710860366,1.3600846262341326,1.477009873060649,13.007716176420692,77.54868942780254,Rajajinagar,10,poi_school,BTP023 - Mahalaxmi Layout Entrance,36.89706306744821,114
17241,2881,848,114,1.321933962264151,0.0,1.372877358490566,1.3608490566037736,12.967144615018848,77.58708140782751,Halasuru Gate,4,none,BTP076 - Hudson Circle,36.85347453636669,115
17258,2856,113,22,1.1238938053097345,0.9646017699115044,1.3168141592920355,1.9221238938053096,12.85511728014375,77.66386083116288,Electronic City,11,poi_techpark,Hosur Road,36.739499592202755,116
17251,2868,619,81,1.9240710823909533,0.0,1.4806138933764135,1.480129240710824,12.906596245446144,77.63100061675283,HSR Layout,13,none,Hosapalya Main Road,36.734006971838454,117
17256,2887,112,8,1.3125,0.6875,1.4419642857142858,2.4348214285714285,12.99271922142857,77.65316993124999,Banaswadi,7,poi_transit,Railway Line Road,36.721929257909274,118
17234,2880,471,87,1.8864118895966029,0.0,1.3857749469214438,1.5496815286624204,12.963972360721868,77.55498793375797,Magadi Road,2,none,BTP091 - Sirsi Circle,36.66295433388868,119
17248,2882,881,116,1.0096481271282634,0.0771850170261067,1.3720771850170261,1.3772985244040863,12.97220031321952,77.61827235108028,Halasur,4,poi_mall,BTP143 - ASC Junction,36.64221041412125,120
17244,2910,762,88,1.8274278215223096,0.0,1.3976377952755905,1.403018372703412,13.097100856167978,77.59949898018372,Yelahanka,2,none,Jakkur Main Road,36.60109742742848,121
17253,2880,320,77,1.9046875,0.0,1.439375,1.7796875,12.962581994760075,77.64117548017775,Jeevanbheemanagar,8,none,"BTP148 - 17th Main, Doopanahalli Bus Stop",36.56309956078421,122
17239,2899,868,85,1.9493087557603688,0.0,1.1981566820276497,1.4165898617511519,13.047539397465439,77.57612850426268,Kodigehalli,3,none,Bhadrappa Flyover,36.40603081115652,123
17235,2892,87,46,1.0459770114942528,0.9655172413793104,1.5804597701149425,1.4701149425287354,13.01815836509022,77.55867374414026,Yeshwanthpura,2,poi_mall,CV Raman Road,36.32490326265952,124
17244,2884,2112,111,1.0002367424242424,0.007575757575757576,1.0701704545454545,1.4382575757575757,12.981226883620057,77.5987366853274,Shivajinagar,4,poi_market,BTP042 - Minsk Square Junction (CTO),36.277494576827955,125
17265,2874,334,64,2.053892215568862,0.005988023952095809,1.532934131736527,1.7586826347305389,12.936371645568016,77.69299402370049,HAL Old Airport,3,poi_school,Embassy Tech Square Main Road,36.22503924461945,126
17267,2879,561,109,1.2192513368983957,0.0,1.4639928698752227,1.5085561497326203,12.957142372628134,77.70273660578088,HAL Old Airport,3,none,HAL Airport Road,36.12194032652143,127
17241,2878,366,111,1.7650273224043715,0.0,1.442896174863388,1.2360655737704918,12.95485439043716,77.5857293237705,Wilson Garden,3,none,BTP192 - Urvashi Theater,36.11440716464489,128
17249,2882,170,58,1.0029411764705882,0.8529411764705882,1.5294117647058822,1.2947058823529412,12.97315359,77.62184596470588,Halasur,4,poi_mall,Old Madras Road,36.08910548832282,129
17248,2872,613,77,2.0831973898858074,0.0,1.6615008156606852,1.2355628058727568,12.925349607114914,77.61877331153423,Madiwala,1,none,BTP137 - Madiwala Traffic PS Junction,35.99505324420404,130
17241,2896,1092,114,1.2765567765567765,0.0009157509157509158,1.274908424908425,1.2624542124542124,13.034862836400473,77.588808467939,Hebbala,4,poi_hospital,Bellary Road,35.98029152802702,131
17266,2891,407,91,1.160933660933661,0.0,1.5791154791154793,1.8508599508599508,13.010640842186731,77.69776091194103,K.R. Pura,11,none,MBT Road,35.918983206763656,132
17240,2882,849,112,1.0447585394581862,0.07538280329799764,1.2909305064782097,1.3914016489988221,12.97264306925795,77.58097902991756,Upparpet,9,poi_hospital,BTP038 - Mysore Bank Junction,35.90260728096577,133
17231,2883,87,26,1.7413793103448276,0.9195402298850575,1.4425287356321839,1.403448275862069,12.974137647126437,77.54152242643679,Vijayanagara,9,poi_metro,BTP020 - Hosahalli Metro Station,35.895784488713154,134
17260,2888,142,58,1.971830985915493,0.0,1.9014084507042253,1.937323943661972,12.997976890821361,77.67133727882731,Banaswadi,1,none,Outer Ring Road,35.831401232516406,135
17255,2882,155,44,1.5483870967741935,0.5161290322580645,1.4135483870967742,1.7948387096774192,12.97041001796264,77.6480908226766,Jeevanbheemanagar,7,poi_hospital,Sir CV Raman Hospital Road,35.77876029136083,136
17252,2865,446,94,1.2556053811659194,0.11659192825112108,1.5751121076233183,1.4739910313901345,12.893652738641682,77.6369158275452,Hulimavu,2,poi_metro,Hosur Road,35.72650958546118,137
17259,2887,446,84,1.0493273542600896,0.0,1.3993273542600897,2.0887892376681614,12.99574600870316,77.66774475722114,Mahadevapura,10,none,Old Madras Road,35.65102378576014,138
17250,2868,488,75,1.5686475409836065,0.004098360655737705,1.4170081967213115,1.8098360655737706,12.907095103639538,77.62871247242914,HSR Layout,11,poi_techpark,Hosur Road,35.63932982919431,139
