cell,name,lat,lon,top_station,CIS,CIS_rank,n_violations,road_class,dominant_poi,peak_hour,demand_index,blind_spot,reliable,devices,evening_share,observed,archetype,intervention
17239_2882,BTP044 - Sagar Theatre Junction,12.971908266138817,77.57765435715399,Upparpet,50.28100366937589,18,5618,1.5752936988252046,poi_hospital,9,48.85217391304348,32.68987222819756,True,113,0.0007119971520113,5618,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17270_2880,ITPL Main Road,12.96297741879518,77.7173440307229,HAL Old Airport,50.130396661961576,19,830,1.9704819277108436,poi_techpark,5,103.75,63.18058109200085,True,6,0.0,830,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17240_2883,BTP044 - Sagar Theatre Junction,12.976322617607458,77.58118527415847,Upparpet,49.755462118963045,20,1931,1.4236147074054897,poi_school,9,24.443037974683545,36.49602916653887,True,77,0.0,1931,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17263_2873,Outer Ring Road,12.930670362731677,77.68568640764217,HAL Old Airport,49.69017377114783,21,1408,2.2954545454545454,poi_techpark,8,23.864406779661017,39.66513711407226,True,57,0.0,1408,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17252_2869,17th Cross Road,12.912145844076214,77.6367166381793,HSR Layout,49.60813088703663,22,1562,1.7829705505761844,poi_metro,14,57.851851851851855,48.16110741882412,True,25,0.0044814340588988,1562,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17245_2884,BTP051 - Safina Plaza Junction,12.98131471405821,77.60540448681786,Shivajinagar,49.52494153694562,23,2956,1.2016238159675237,poi_hospital,10,44.11940298507463,38.07317762661911,True,65,0.0020297699594046,2956,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17234_2890,"BTP001 - 10th Cross, Dr. Rajkumar Road",13.008478477602146,77.55491032105577,Malleshwaram,49.517992638781934,24,3353,2.28586340590516,poi_school,10,64.48076923076923,40.774447249210446,True,50,0.004771846107963,3353,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17269_2882,ITPL Main Road,12.971449973474552,77.71196507487743,HAL Old Airport,49.48058757831026,25,684,1.9144736842105263,poi_techpark,3,19.542857142857144,45.27270023196315,True,33,0.0,684,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17233_2883,"BTP070 - Cholurpalya Junction, Magadi Road",12.97396637317895,77.55103306736471,Magadi Road,48.971066971996976,26,1689,1.310242747187685,poi_mall,11,31.27777777777778,40.055848431476655,True,52,0.0,1689,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17259_2888,MBT Road,12.996369817382268,77.66872528235007,Mahadevapura,48.90591213312006,27,1466,1.1091405184174623,poi_metro,10,48.86666666666667,46.44683674685216,True,28,0.0,1466,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17246_2884,BTP051 - Safina Plaza Junction,12.981120320406966,77.60921567682536,Shivajinagar,48.76932720937408,28,12660,1.099170616113744,poi_market,10,164.41558441558442,36.04951875290568,True,75,0.0,12660,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17230_2882,BTP028 - Vijayanagar Bus Stand Junction,12.971927237387908,77.53761778091948,Vijayanagara,48.76247706850585,29,855,1.5099415204678364,poi_transit,10,18.19148936170213,41.39462634617721,True,45,0.0,855,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17240_2884,BTP058 - Subbanna Junction,12.978876687405812,77.58098968127018,Upparpet,48.73219693445808,30,929,1.290096878363832,poi_transit,2,12.90277777777778,36.74678368575683,True,70,0.0,929,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17231_2878,BTP096 - Gali Anjaneya Temple,12.953161237142732,77.54223855174112,Byatarayanapura,48.24343150461488,31,1649,1.018799272286234,poi_transit,1,36.644444444444446,41.11743871445397,True,43,0.0103092783505154,1649,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17270_2881,ITPL Main Road,12.965468273841552,77.71788253161435,HAL Old Airport,48.22195697403811,32,1338,1.9869207772795217,poi_techpark,7,121.63636363636364,57.01681395368753,True,9,0.0,1338,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17261_2888,Outer Ring Road,13.000225008156391,77.67693137874139,Mahadevapura,47.98663754707707,33,1593,2.274952919020716,none,1,35.4,41.20214461499389,True,43,0.0,1593,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17239_2884,BTP058 - Subbanna Junction,12.978994973018166,77.57837034474599,Upparpet,47.47227263389607,34,3898,1.383786557208825,poi_transit,1,48.725,34.6891390766836,True,78,0.0,3898,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17238_2889,Sri Venkataranga Ayangar Road,13.00212114345351,77.57130304459204,Malleshwaram,47.46558202388602,35,527,1.092979127134725,poi_mall,10,11.456521739130435,40.52166097346856,True,44,0.0,527,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17265_2890,MBT Road,13.008288554741808,77.69514625279524,K.R. Pura,47.126978878316685,36,3715,1.0660834454912518,poi_hospital,0,57.15384615384615,32.611950160881875,True,63,0.1380888290713324,3715,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17254_2882,12th Main Road,12.970694963060222,77.64632908655345,Jeevanbheemanagar,47.09204267868476,37,818,1.6399755501222495,poi_hospital,13,19.476190476190474,41.16073654432344,True,40,0.0,818,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17265_2887,Whitefield Road,12.995458142784551,77.69576173217483,Mahadevapura,47.01260698205362,38,896,1.1350446428571428,poi_market,11,28.0,43.83479709310687,True,30,0.0044642857142857,896,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17238_2884,BTP057 - Anand Rao Junction,12.97927327869662,77.57439229997532,Upparpet,46.94062168383753,39,4051,1.027770920760306,poi_hospital,9,61.37878787878788,36.28728944179494,True,64,0.0004937052579609,4051,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17233_2882,"BTP070 - Cholurpalya Junction, Magadi Road",12.973403094188862,77.5509149362389,Magadi Road,46.83014899852069,40,1239,1.608555286521388,poi_mall,12,51.625,46.84758848511476,True,22,0.0,1239,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17230_2881,"BTP016 - 5th Main Road, RPC Layout",12.966177711298174,77.5376881921727,Vijayanagara,46.55047208042534,41,3144,1.9631043256997456,poi_market,10,49.125,36.29044452947958,True,62,0.0009541984732824,3144,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17264_2873,New Horizon College Road,12.932576480842393,77.6902643877818,HAL Old Airport,46.5170958549911,42,1530,1.5784313725490196,poi_school,8,36.42857142857143,40.65820504662389,True,40,0.0,1530,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17270_2878,Vibgyor High School Road,12.95180500919755,77.71741867519945,Whitefield,46.49551637111804,43,329,1.0,poi_school,8,14.954545454545457,47.17697572529764,True,20,0.0091185410334346,329,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17266_2877,Outer Ring Road,12.949531229347878,77.69957015356746,HAL Old Airport,46.43574236669187,44,908,2.269273127753304,poi_school,3,28.375,43.42413322097599,True,30,0.0,908,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17234_2886,"BTP204 - ESI Hospital, Rajajinagar",12.989335798073556,77.55479610437828,Rajajinagar,46.38086203445365,45,571,1.73292469352014,poi_hospital,5,38.06666666666667,51.42968103477455,True,13,0.0,571,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17255_2879,Old Airport Road,12.959390763263364,77.64905700312792,Jeevanbheemanagar,46.12692679147979,46,458,1.1943231441048034,poi_hospital,9,19.08333333333333,46.14410439903836,True,22,0.0,458,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17266_2878,Outer Ring Road,12.95193275526479,77.69997625587698,HAL Old Airport,45.85431131516067,47,461,2.20824295010846,none,2,17.73076923076923,45.0358822996159,True,24,0.0,461,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17262_2929,Unnamed Road,13.18406401653348,77.6798520046726,Chikkajala,45.72075090107652,48,2703,1.0,none,1,71.13157894736842,40.91512921379314,True,36,0.0025897151313355,2703,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17266_2879,Marathahalli Underpass,12.957613126125832,77.70094016231286,HAL Old Airport,45.554308045965,49,1117,2.443151298119964,none,10,22.34,37.8670947603776,True,48,0.0062667860340196,1117,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17252_2864,Hosur Road,12.89186242411713,77.63802616154565,Hulimavu,45.53523834499779,50,323,1.2910216718266254,poi_techpark,2,53.833333333333336,60.73726675281748,True,4,0.0,323,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17235_2883,BTP074 - Leprosy Hospital Junction,12.975729125186543,77.55988070406772,Magadi Road,45.43407861236306,51,1660,1.0683734939759035,poi_hospital,4,31.923076923076923,37.477500600647296,True,50,0.0024096385542168,1660,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17228_2890,Dr Rajkumar Puniya Bhoomi Road,13.0077174147541,77.52683530562061,Rajajinagar,45.24575091312016,52,427,1.3875878220140516,poi_mall,11,21.35,47.15161537012055,True,18,0.0,427,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17258_2887,Old Madras Road,12.993637709417133,77.66269237894919,Banaswadi,45.24448607579989,53,851,1.163337250293772,poi_mall,14,70.91666666666667,52.45609844530326,True,10,0.0035252643948296,851,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17245_2885,BTP211 - Central Street Junction,12.984106527847953,77.60392456237203,Shivajinagar,44.96005055728195,54,4557,1.0087777046302393,poi_hospital,10,68.01492537313433,33.875169513827736,True,65,0.0269914417379855,4557,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17238_2883,BTP045 - Danvanthri Road Junction,12.976619661721728,77.57463358081321,Upparpet,44.85735170764494,55,3148,1.0465374841168995,poi_hospital,10,40.88311688311688,33.01794480822345,True,75,0.0050825921219822,3148,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17234_2892,Mumbai Bengaluru Highway,13.015568815300798,77.55528922606948,Malleshwaram,44.666072700890645,56,253,1.0276679841897234,poi_mall,11,8.161290322580646,42.08928448876428,True,29,0.0,253,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17240_2880,"BTP080 - NR Road, SP Road Junction",12.96379579935405,77.58268278925942,Halasuru Gate,43.90698316932548,57,2376,1.0332491582491583,poi_market,10,26.4,30.940315412497277,True,88,0.0,2376,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17243_2872,"BTP127 - Sagar Hospital, Jayanagar",12.9272225828125,77.5969997359375,Jayanagara,43.75231056863622,58,64,1.8671875,poi_hospital,3,4.923076923076923,49.988819095192405,True,11,0.0,64,(low-volume cell),
17262_2852,Hosur Road,12.835531502380954,77.67927619523809,Electronic City,43.66940315684976,59,42,1.0476190476190477,poi_techpark,2,10.5,63.12322665628728,False,2,0.0,42,(low-volume cell),
17224_2880,Mallathahalli Road,12.9610006008547,77.51156217158119,Jnanabharathi,43.535688142726805,60,468,1.1773504273504274,poi_mall,12,18.72,43.14700638782498,True,23,0.0,468,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17233_2886,"BTP170 - Dr. Bheem Rao Palace, Chord Road",12.989179086719185,77.55099591921686,Rajajinagar,43.42680970842757,61,894,1.417785234899329,poi_hospital,3,17.88,36.26560637868885,True,48,0.0,894,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17233_2891,BTP023 - Mahalaxmi Layout Entrance,13.011576655331806,77.5516332043936,Malleshwaram,43.059231236283495,62,2185,1.0787185354691076,poi_mall,10,39.72727272727273,35.04438374154028,True,53,0.0,2185,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17237_2889,Siddavanahalli Krishna Sharma Road,13.002140308587256,77.56965263711912,Malleshwaram,42.95632570895433,63,361,1.2867036011080333,poi_mall,6,20.05555555555556,45.80982639400937,True,16,0.0,361,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17238_2887,Sri Venkataranga Ayangar Road,12.994143044072398,77.57179276461538,Malleshwaram,42.70508801614224,64,1105,1.0633484162895928,poi_mall,6,20.09090909090909,34.75615911351587,True,53,0.0,1105,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17261_2872,Outer Ring Road,12.926214431509608,77.6770075869807,Bellandur,42.42929974260917,65,932,2.351931330472103,poi_mall,4,25.88888888888889,38.55229527004123,True,34,0.0,932,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17241_2904,Sahakar Nagar Road,13.071045679175148,77.58792325101433,Kodigehalli,41.79477563380387,66,5447,1.0047732696897376,poi_transit,11,181.56666666666663,39.69326071356432,True,28,0.0,5447,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17261_2866,Amrutha College Road,12.899592489063195,77.67545274344596,Bellandur,41.72491664686226,67,576,1.0026041666666667,poi_school,11,24.0,41.74045495156688,True,22,0.0,576,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17233_2889,"BTP026 - 1st Block Junction, Rajajinagar",13.00212877899225,77.55016989248062,Malleshwaram,41.51751448442377,68,1290,1.9337209302325584,poi_hospital,7,39.09090909090909,38.53683695406215,True,31,0.0,1290,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17236_2883,BTP074 - Leprosy Hospital Junction,12.97524047835572,77.56435361286667,Magadi Road,41.39822548413397,69,147,1.5476190476190477,poi_hospital,4,5.653846153846154,40.65933075523029,True,24,0.0,147,(low-volume cell),
17238_2868,"BTP159 - JP Nagar Metro, ORR",12.907613039080122,77.573174028369,J.P. Nagar,41.25520292309933,70,94,2.654255319148936,poi_metro,3,3.9166666666666665,41.270566307023984,True,22,0.0,94,(low-volume cell),
17277_2876,Muthsandra Main Road,12.94268272079208,77.74775398217822,Whitefield,41.16284298220671,71,101,1.9603960396039604,poi_transit,13,5.611111111111111,43.8972062851662,True,16,0.0,101,(low-volume cell),
17238_2876,BTP108 - Tagore Park Junction,12.943988510849575,77.57143149635606,Basavanagudi,40.98549486587084,72,1921,1.026028110359188,poi_market,11,45.73809523809524,35.82331664445749,True,40,0.0,1921,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17234_2885,BTP061 - Bhashyam Circle,12.985391305132936,77.55449203228085,Rajajinagar,40.86477753750096,73,1102,1.6569872958257714,poi_market,9,27.55,36.164393117979216,True,38,0.0,1102,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17240_2881,"BTP080 - NR Road, SP Road Junction",12.965241676754385,77.58326652631578,Halasuru Gate,40.73077622516653,74,1824,1.168859649122807,poi_market,10,35.07692307692308,33.60327236536471,True,50,0.0021929824561403,1824,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17262_2930,Unnamed Road,13.186768172025536,77.68023541271039,Chikkajala,40.66975765524693,75,1723,1.0,none,4,53.84375,37.7279351167485,True,30,0.012188044109112,1723,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17253_2882,Domlur Inner Ring Road,12.969774752696994,77.64088706397912,Jeevanbheemanagar,40.61099996440111,76,730,2.243150684931507,poi_hospital,7,19.210526315789476,36.3728535718301,True,36,0.0013698630136986,730,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17266_2876,Outer Ring Road,12.944087994569776,77.69784033488705,HAL Old Airport,40.59168094779602,77,455,2.435164835164835,none,6,15.166666666666666,38.5506597470409,True,28,0.0,455,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17240_2873,"BTP188 - 27th Cross, 4th Main, Jayanagar",12.92999856082996,77.58227205283401,Jayanagara,40.568460686831074,78,988,1.9003036437246963,poi_transit,8,22.454545454545453,35.036577612717984,True,42,0.0,988,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17246_2885,BTP051 - Safina Plaza Junction,12.983139383944154,77.60943045148342,Shivajinagar,40.39748847945066,79,2865,1.0,poi_market,10,48.559322033898304,32.238606885747046,True,57,0.000349040139616,2865,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17255_2853,Neeladri Road,12.841389366849317,77.64837855260274,Electronic City,40.258328807234165,80,365,1.0424657534246575,poi_techpark,12,52.142857142857146,52.09469474395178,True,5,0.0,365,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17244_2874,BTP126 - Dairy Circle,12.936557730964468,77.60164844162436,Mico Layout,40.2300954102546,81,197,2.50253807106599,poi_school,7,16.416666666666668,46.7294801950429,True,10,0.0,197,(low-volume cell),
17234_2884,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",12.979880821343327,77.55474559971711,Magadi Road,40.12977731561765,82,380,2.335526315789474,poi_market,12,8.26086956521739,34.25903911819591,True,44,0.0,380,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17265_2884,Outer Ring Road,12.97923981259416,77.69509384397507,Mahadevapura,40.0823621892192,83,508,1.7106299212598426,poi_mall,3,29.88235294117647,43.27595930153289,True,15,0.0,508,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17254_2853,Neeladri Road,12.841849818014706,77.64558848455883,Electronic City,39.95584308463655,84,1632,1.0683210784313726,poi_techpark,13,108.8,44.3052624548436,True,13,0.0,1632,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17230_2895,Mumbai Bengaluru Highway,13.030301699836118,77.53695527516565,Yeshwanthpura,39.891130452580185,85,715,1.1426573426573428,poi_school,1,21.666666666666668,36.85603782310304,True,31,0.0069930069930069,715,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17266_2875,Panathur Main Road,12.9381659084905,77.6987653585904,HAL Old Airport,39.85539504686343,86,581,1.96815834767642,poi_market,6,13.204545454545457,34.420745036999904,True,42,0.0,581,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17233_2887,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",12.993380086887418,77.5524192765563,Rajajinagar,39.785464741757536,87,755,1.8728476821192053,poi_hospital,3,68.63636363636364,47.04165039305797,True,9,0.0,755,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17261_2853,Hosur Road,12.84049927542277,77.67686388359986,Electronic City,39.77125437253213,88,419,1.002386634844869,poi_techpark,8,24.647058823529413,42.18286904732782,True,15,0.0310262529832935,419,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17262_2872,Outer Ring Road,12.927547700411052,77.68012265638242,Bellandur,39.70668723308826,89,1047,2.061604584527221,none,2,30.794117647058822,36.58901368164249,True,32,0.0,1047,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17241_2872,"BTP226 - 33rd Cross, 11th Main, Jayanagar",12.92679837808765,77.58604449501992,Jayanagara,39.46587864489717,90,502,2.1115537848605577,poi_transit,8,15.212121212121213,36.63249473081539,True,31,0.0,502,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17237_2883,BTP048 - Shanthala Junction,12.97696599139963,77.57073743693086,Chamarajpet,39.35463579461371,91,1329,1.0011286681715577,poi_transit,7,34.07692307692308,35.03316836617305,True,37,0.000752445447705,1329,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17270_2877,Vibgyor High School Road,12.95041891727426,77.71762887953903,Whitefield,39.28948807166935,92,81,1.0,poi_school,8,16.2,54.32220112242534,True,3,0.0,81,(low-volume cell),
17253_2863,Hosur Road,12.88563915065384,77.64147282822151,Hulimavu,38.92161867267878,93,547,1.6325411334552102,poi_techpark,2,109.4,53.81357969568903,True,3,0.0,547,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17234_2887,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",12.993418526447334,77.5544062025653,Rajajinagar,38.65969403394927,94,870,1.5402298850574712,poi_hospital,3,39.54545454545455,39.41535836741741,True,20,0.0011494252873563,870,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17242_2896,Bellary Road,13.035491096948162,77.5891306579653,Hebbala,38.61343734388382,95,2133,1.0829817158931083,poi_hospital,3,71.1,36.64966865854367,True,28,0.0009376465072667,2133,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17246_2872,Thavarekere Main Road,12.9263718845679,77.6090041771605,Mico Layout,38.55304935010311,96,162,1.92283950617284,none,3,23.142857142857142,49.88804545163415,True,5,0.0,162,(low-volume cell),
17235_2886,"BTP015 - Suguna Hospital, Dr. Rajkumar Road",12.988365162352942,77.55917983764705,Rajajinagar,38.55172596216951,97,85,1.994117647058824,poi_hospital,2,8.5,46.47050513799275,True,8,0.0,85,(low-volume cell),
17243_2870,"BTP202 - East End Main Road, Jayanagar",12.91715847820513,77.59614200897437,Jayanagara,38.51433115805282,98,234,2.230769230769231,none,2,12.31578947368421,40.59169709755327,True,17,0.0,234,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17243_2873,"BTP127 - Sagar Hospital, Jayanagar",12.9285018,77.597355,Jayanagara,38.5,99,1,2.0,poi_hospital,11,0.3333333333333333,59.06220513255561,False,1,0.0,1,(low-volume cell),
17253_2884,Chinmaya Mission Hospital Road,12.978954506098471,77.64034140106072,Jeevanbheemanagar,38.45663587651884,100,393,1.0648854961832062,poi_hospital,9,12.28125,35.96251495982032,True,30,0.0,393,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
